p,H,t,R_c,beta,H_over_p,t_over_p,Rc_over_t,f_over_t,alpha_deg,T_L,lam,J1,J2,t_over_Rmin,A11,A12,A22,A66,D11,D12,D22,D66,A22_over_A11,A66_over_A11,D22_over_D11,t_b,t_b_over_t,t_s,Kt,A11_over_Et,A22_over_Et,A66_over_Gt,D11_over_Dflat,D22_over_Dflat,D66_over_Gt3,vm_per_N_x,vm_per_N_y,vm_per_N_xy,vm_per_M_x,vm_per_M_y,vm_per_M_xy,vm_per_N_xp,vm_per_N_yp,vm_per_M_xp,vm_per_M_yp,ZA11,ZA12,ZA22,ZA66,ZA16,ZA26,ZD11,ZD12,ZD22,ZD66,ZD16,ZD26,coupA16,coupD16,ZA22_over_ZA11,ZD22_over_ZD11
9.0,1.4,0.6,0.6566,60.0,0.15555555555555556,0.06666666666666667,1.0943333333333334,1.1666666666666667,18.06886515547656,4.305001742159926,1.0486964568080155,0.9536751599142266,0.18585234385526106,0.9137983551629607,17800.69085036507,5340.207255109521,123041.11187490105,42470.30801841946,3640.312115864525,1092.0936347593574,25162.39701440906,1401.2198042119405,6.9121537421890356,2.385879760253712,6.912153742189035,1.5665400580271855,2.610900096711976,0.6292178740848092,7.999999999999999,0.1537192646836362,1.0625311906295427,0.9535647741614042,0.9535647741614043,6.591186322139392,1.0486964568080155,11.965411625367606,1.5892746236023403,3.490964000800415,15.505436425831162,7.770162804879025,29.11669869735527,3.073183416295823,8.928593707421756,13.437726778544738,16.816396811209177,104178.4773422603,-2107.26346838376,51558.26682999235,35022.83729492619,18485.420301063823,27085.018755045225,15841.817794040337,5032.15163049194,5080.775344768078,5341.277799944524,6934.461610595192,2384.8745216773077,0.30603046591704125,0.7538547196644255,0.49490324820746434,0.3207192135917291
9.0,1.6,0.6,0.7504,60.0,0.17777777777777778,0.06666666666666667,1.2506666666666666,1.3333333333333335,20.739950747969864,4.243517408942727,1.0637283631477406,0.9403337040368565,0.2516371697477456,0.7995735607675907,13641.668305286606,4092.5004915859818,124407.49459998414,41870.14568894749,3588.869630481213,1076.6608891443639,32729.301811356287,1421.3047436827885,9.119668636993032,3.0692833715009322,9.119668636993032,1.7767884460777104,2.961314076796184,0.6382370178886443,9.000000000000002,0.11780369866396033,1.074330696027497,0.9400896268675601,0.9400896268675603,8.57330588610657,1.0637283631477406,13.44427172072161,1.5668160447792672,3.4232150034120967,15.375530501856202,6.550399104979667,28.56581727402948,3.408225036751691,10.038065684799514,13.194897632258504,16.63779836773312,103769.11693262683,-2960.5784147311247,48386.20378527811,34817.06678263039,19909.407855417754,28053.601865773457,20104.263011984207,6416.591643297667,5534.046921546679,6761.235497836094,9392.099094838215,3226.0781781094774,0.3312288774282261,0.8055742136199749,0.4662871306565454,0.27526733599972397
9.0,1.8,0.6,0.8442,60.0,0.2,0.06666666666666667,1.407,1.5,23.450190288687317,4.172740106932134,1.0808385724582008,0.9256982270101797,0.33115032534630534,0.7107320540156361,10636.26681874866,3190.8800456245976,126118.37070434703,41207.32056884838,3532.056048758432,1059.6168146275295,41880.968360123785,1444.1666156614574,11.857390647819859,3.874227797314355,11.857390647819855,1.996226445094535,3.3270440751575587,0.6485031434749204,10.000000000000002,0.09185031795119741,1.0891051010738086,0.9252075429965957,0.9252075429965958,10.970547267620223,1.0808385724582008,14.923107012947426,1.542012571660993,3.3691854608328047,15.276838502170552,5.571701497501423,27.995700192503797,3.7548744515030483,11.147185394569805,12.936009971925728,16.454344081755746,103708.42064111249,-3269.6958625404804,45967.36869831334,34746.74466068331,21272.593672151335,28732.62415154957,25259.279472848433,8094.077624061528,6084.823317165774,8478.627425095461,12364.130909216641,4241.4352253554625,0.3543695303828001,0.8448708765471793,0.4432366090829347,0.2408945719812174
9.0,2.0,0.6,0.938,60.0,0.2222222222222222,0.06666666666666667,1.5633333333333332,1.6666666666666667,26.206772229382693,4.092187678980523,1.1000577087050587,0.9099582953838764,0.42618566411411163,0.6396588486140725,8418.332159494948,2525.4996478484845,128144.33256240035,40487.38642165448,3470.3474075703834,1041.104222271115,52825.82628925905,1469.8463384774514,15.222057069566649,4.809430853353676,15.222057069566649,2.224149986725152,3.70691664454192,0.6600346252230352,11.0,0.07269716890755569,1.1066004539067387,0.9090432184482008,0.9090432184482008,13.837507749921055,1.1000577087050587,16.401946898741812,1.5150720307470016,3.3248615690192156,15.200441808613833,4.777423484530804,27.407011004149414,4.105017803348544,12.256238434821903,12.66743824044708,16.266614330361975,103919.93501050264,-3181.6029009801982,44056.93480904999,34780.28387282581,22626.442267746468,29216.43665346454,31424.222837891106,10103.837953216876,6746.483397046792,10532.580069423217,15918.146391027623,5453.402872716757,0.3763572420903787,0.8749693434372823,0.4239507540550077,0.21469054085601535
9.0,2.2,0.6,1.0318,60.0,0.24444444444444446,0.06666666666666667,1.719666666666667,1.8333333333333335,29.01796705855565,4.001269798451486,1.1214219399894834,0.893330986612463,0.5387091673544386,0.5815080441946113,6750.70027724234,2025.210083172702,130468.22367573399,39716.06043206112,3404.233751319524,1021.2701253958571,65792.33446475444,1498.3922382782557,19.326620693791227,5.883250448246107,19.326620693791227,2.459947828348397,4.099913047247329,0.67285316399369,12.000000000000002,0.05829620273957116,1.1266685982360447,0.8917250183364327,0.8917250183364327,17.234031192552262,1.1214219399894834,17.880737692702773,1.4862083638940549,3.288118892447676,15.140277281188832,4.12578227958487,26.800505147315818,4.458248834123455,13.365326978197341,12.392543435169022,16.075159415391916,104356.79369016357,-2792.74078087985,42498.03199091781,34898.10956800858,24003.984310794236,29567.274767400493,38727.72322161396,12488.856190177587,7533.672864896526,12965.978303059992,20128.233929381102,6886.606126467246,0.39776083598842243,0.8982392802530504,0.4072378087534475,0.19452919609516264
9.0,2.4,0.6,1.1256,60.0,0.26666666666666666,0.06666666666666667,1.876,2.0,31.8934533223373,3.899261468534779,1.144973872588321,0.8760632319908578,0.6708453975578312,0.5330490405117271,5476.162599865427,1642.848779959628,133080.82907971545,38899.10731131197,3334.2091981124545,1000.2627594337363,81027.41953296322,1529.8612436045487,24.301840322087187,7.103351407474258,24.301840322087184,2.703017629396942,4.505029382328237,0.6869843235529925,13.0,0.04728983246861336,1.149229957510496,0.8733823748653811,0.8733823748653812,21.224799014103784,1.144973872588321,19.359509910962363,1.4556372914423017,3.2567943509277946,15.092169657228977,3.5859224630681665,26.17737043934524,4.814141421476393,14.474523469191688,12.113225070821473,15.880635963440879,104990.62529580035,-2168.114056087807,41188.292055875376,35088.14447526455,25426.960283984037,29827.481122511326,47308.80602966488,15295.57367901936,8462.200862239524,15825.17216319018,25074.475070459266,8567.671855314962,0.41892760826844,0.9164032788788379,0.39230447423121423,0.17887157957301483
9.0,2.6,0.6,1.2194,60.0,0.2888888888888889,0.06666666666666667,2.0323333333333333,2.166666666666667,34.844765577026635,3.7852661729394943,1.1707637219340596,0.8584348480441535,0.8248621550339895,0.4920452681646711,4488.025155733398,1346.4075467200194,135978.3612639801,38042.22893487475,3260.762480132121,978.2287440396362,98794.70883825327,1564.3204499995857,30.298039013945676,8.476384961050467,30.29803901394568,2.9527220303491233,4.921203383915206,0.7024582331604358,14.000000000000002,0.038756693918250415,1.1742518243867022,0.8541433094186041,0.8541433094186041,25.87886731226554,1.1707637219340596,20.83823040389526,1.4235721823643401,3.230123822257191,15.05318913852754,3.13481224609688,25.539205314616442,5.1723668977720845,15.583838539617895,11.830702434570204,15.683809194445057,105804.90431439817,-1352.719530759779,40059.736260274876,35343.10185739496,26910.151110714007,30026.834600233942,57315.89749304024,18573.553499722344,9548.924313979705,19159.645205682296,30842.371601650484,10525.040633305902,0.4400589984035557,0.9307145116349055,0.3786188978654315,0.1666016712926673
9.0,2.8,0.6,1.3132,60.0,0.3111111111111111,0.06666666666666667,2.1886666666666668,2.3333333333333335,37.885927567708585,3.6581634736572393,1.1988508698008975,0.8407625137012706,1.0031531650207164,0.45689917758148035,3712.243641907136,1113.6730925721408,139161.03265071558,37150.96069109779,3184.368059236953,955.3104177710858,119372.5386073285,1601.8492006493527,37.48704182013837,10.007683836185864,37.487041820138366,3.208366821309073,5.347278035515122,0.7193105218805385,14.999999999999998,0.03205737169177147,1.201736033253157,0.8341321053268933,0.8341321053268934,31.269145115909314,1.1988508698008975,22.31692737974107,1.3902201755448222,3.207005562486528,15.021237779051626,2.755015112922267,24.8878982392139,5.532606094388506,16.69329200498622,11.545890659094905,15.485516487100917,106790.94402168455,-378.43553059900637,39066.5495172804,35658.85206792666,28464.053733118613,30186.992363614667,68905.70427747574,22375.10211060094,10811.619003429996,23021.640893479213,37522.19932831257,12788.754328630534,0.46126006795143804,0.9420903616353515,0.36582268164375153,0.15690455698548247
9.0,3.0,0.6,1.407,60.0,0.3333333333333333,0.06666666666666667,2.345,2.5,41.03437625673881,3.5165323829022253,1.2293059765829237,0.8234050862549069,1.2082185598881328,0.42643923240938164,3096.37301000198,928.9119030005941,142632.30565920274,36230.57431337328,3105.4777982891383,931.6433394867414,143051.71150654132,1642.5419087111834,46.06431628181371,11.700972136218857,46.0643162818137,3.4691909180420017,5.781984863403337,0.7375835859497543,16.0,0.02673897245252142,1.2317124841036506,0.8134671262069995,0.8134671262069996,37.47180698645729,1.229305976582924,23.795604061749774,1.3557785436783325,3.1867804548351826,14.994783347524914,2.4331350251134487,24.225491700526906,5.894593036988645,17.80288026342217,11.259570281151687,15.286623728575806,107945.46794508182,731.7664548212834,38177.50162048149,36033.428865193986,30096.59362616474,30324.237581316414,82241.95276866342,26754.843650301536,12268.835914537398,27465.74221952599,45208.280039611665,15390.216738038589,0.48257224763000317,0.9512082488247865,0.3536739647087789,0.14917977384423417
9.0,3.2,0.6,1.5,60.0,0.35555555555555557,0.06666666666666667,2.5,2.666666666666667,44.30459982548396,3.3600595232822883,1.2621873212181975,0.8067728080915955,1.4424102323767394,0.39999999999999997,2602.991609323923,780.8974827971768,146395.56104190642,35286.72867310641,3024.5767434091204,907.3730230227361,170106.04555144344,1686.4764438123145,56.24127274076379,13.556220675744497,56.241272740763776,3.7341051493604263,6.223508582267377,0.7573123927309184,17.000000000000004,0.022478338595197954,1.2642103716917652,0.7922754278935809,0.7922754278935809,44.55857842596821,1.2621873212181975,25.274236143832685,1.3204590464893016,3.169193732868301,14.972713354979865,2.1590776496074917,23.554872721872478,6.258084262898971,18.912570394368007,10.972808338336437,15.088224797178883,109268.07312253382,1960.2430440241087,37371.788406242624,36466.074234333355,31812.899978255504,30451.10902377159,97478.8088856427,31764.242486814834,13938.074481625616,32543.345907604424,53989.42101361325,18358.977231074256,0.5039786186577621,0.9585669741020355,0.3420192864967399,0.14298568725821292
9.0,3.4,0.6,1.5,60.0,0.37777777777777777,0.06666666666666667,2.5,2.8333333333333335,46.68897252930981,3.3778691508109078,1.2938884524088512,0.7912067460250523,1.6761849211741462,0.39999999999999997,2245.7409139072506,673.7222741721752,150034.3994711966,34422.1802548308,2950.472593271211,885.1417779813632,197116.40864105156,1728.834032180134,66.80841879046473,15.327761115124092,66.80841879046473,3.970604128717037,6.617673547861728,0.7763330714453107,18.0,0.019393272140822544,1.2956338469015252,0.7728641507993098,0.7728641507993098,51.633831854737174,1.2938884524088512,26.753065937168635,1.2881069179988498,3.169299168816564,14.957006799059787,1.960792199164331,22.97776260937008,6.621343065987083,20.021884097173352,10.729098661797575,14.919988013885666,110603.98955360492,3156.967552441477,36709.6602749603,36905.42553310011,33430.885505331906,30563.480845586615,112690.93808854901,36769.12831853877,15607.9700646589,37612.82057273755,62755.787580528326,21320.529002952902,0.5232598053143277,0.9639207651490966,0.3319017733729101,0.13850244153966174
9.0,3.6,0.6,1.5,60.0,0.4,0.06666666666666667,2.5,3.0,48.956977200565206,3.407345007480165,1.3268280754224762,0.7763663689411536,1.9327939443823965,0.39999999999999997,1951.6445060208725,585.4933518062618,153822.33913946463,33567.620676311075,2877.2246293980916,863.1673888194274,226773.58574182892,1772.8464361606468,78.81678177809475,17.199659350232135,78.81678177809475,4.206076341296029,7.010127235493382,0.7960968452534857,19.000000000000004,0.01685357949931669,1.3283448975774148,0.7536771481727875,0.7536771481727875,59.40240731867138,1.3268280754224762,28.231953523982135,1.2561285802879791,3.1694046117805588,14.943593429369544,1.789212420130377,22.407320325196814,6.985906195891295,21.131387927981155,10.489934326334996,14.756008036140377,112042.31906173576,4397.839771174131,36106.97174501395,37379.967095678956,35082.029142203966,30679.910679271685,129393.29111704385,42269.37173549672,17445.110560828518,43179.050782837956,72380.86736023962,24569.100908890076,0.5420935038364992,0.9683477727506847,0.3222619100298956,0.1348223730166071
